"qty_biological_replicates","proportion_of_DEGs","qty_total_genes","qty_genes_expressed_in_all_samples","qty_not_expressed_genes","qty_genes_expressed_in_some_samples","qty_genes_with_equal_expression_among_samples","qty_low_counting_genes","SDND","percent_of_DEGs_reduction"
3,20,38293,8135,378,25064,0,2,600,25.1860556208382
4,20,38293,7215,105,17133,0,25,600,9.71406188797493
5,20,38293,6701,30,10417,0,62,600,4.32171301736519
6,20,38293,6497,4,5318,0,144,600,2.03681942812378
7,20,38293,6363,1,2398,0,234,600,0.57448753100927
8,20,38293,6241,0,1050,0,231,600,0.208904556730644
9,20,38293,6074,0,399,0,197,600,0.117508813160987
10,20,38293,5943,0,177,0,172,600,0.0783392087739914
15,20,38293,5674,0,1,0,45,600,0
2,20,38293,9226,1731,27336,0,1,900,42.0942681812247
3,20,38293,7173,382,25910,0,0,900,29.3772032902468
4,20,38293,6289,100,17508,0,1,900,12.1817469643557
5,20,38293,5770,28,10318,0,9,900,5.49680114897506
6,20,38293,5555,4,5276,0,21,900,2.01070635853245
7,20,38293,5404,3,2411,0,41,900,0.979240109674892
8,20,38293,5213,2,1003,0,24,900,0.391696043869957
9,20,38293,5104,0,366,0,43,900,0.117508813160987
10,20,38293,4963,0,163,0,35,900,0.0652826739783262
15,20,38293,4678,0,0,0,6,900,0
2,20,38293,8540,1781,27972,0,0,1200,46.4682073377726
3,20,38293,6448,398,26337,0,0,1200,32.6543935239587
4,20,38293,5600,106,17713,0,0,1200,13.4874004439222
5,20,38293,5068,26,10495,0,1,1200,6.20185402794098
6,20,38293,4786,2,5228,0,8,1200,2.96383339861601
7,20,38293,4678,0,2392,0,17,1200,0.940070505287897
8,20,38293,4504,0,1053,0,12,1200,0.483091787439614
9,20,38293,4368,0,418,0,12,1200,0.182791487139313
10,20,38293,4263,0,150,0,11,1200,0.0522261391826609
15,20,38293,3982,0,2,0,2,1200,0
2,20,38293,7409,1735,29149,0,0,2000,54.1976759368064
3,20,38293,5182,404,27630,0,0,2000,40.4360882621752
4,20,38293,4376,96,18517,0,0,2000,17.6132654393524
5,20,38293,3865,23,10736,0,0,2000,8.70870870870871
6,20,38293,3546,7,5564,0,1,2000,3.72111241676459
7,20,38293,3396,4,2496,0,0,2000,1.48844496670584
8,20,38293,3276,0,1090,0,1,2000,0.652826739783262
9,20,38293,3144,0,407,0,2,2000,0.182791487139313
10,20,38293,3033,0,178,0,0,2000,0.0391696043869957
15,20,38293,2784,0,0,0,1,2000,0
2,20,38293,6553,1788,29952,0,0,3000,59.8772685729207
3,20,38293,4238,456,28488,0,0,3000,46.7554511032772
4,20,38293,3428,112,19180,0,0,3000,22.6400313356835
5,20,38293,2912,29,11043,0,0,3000,10.0535317926622
6,20,38293,2651,3,5678,0,0,3000,4.49144796970884
7,20,38293,2579,1,2579,0,0,3000,1.74957566261914
8,20,38293,2416,0,1024,0,0,3000,0.744222483352918
9,20,38293,2323,0,409,0,1,3000,0.221961091526309
10,20,38293,2189,0,172,0,0,3000,0.0913957435696566
15,20,38293,1976,0,0,0,0,3000,0
2,30,38293,11732,1472,25089,0,861,100,15.1462395543175
3,30,38293,10200,217,23009,0,2433,100,7.79073816155989
4,30,38293,9229,54,15058,0,9696,100,3.83008356545961
5,30,38293,8714,25,10614,0,15474,100,4.09993036211699
6,30,38293,8462,5,5457,0,20950,100,3.78655988857939
7,30,38293,8330,5,2653,0,23973,100,3.88231197771588
8,30,38293,8235,1,1198,0,25603,100,3.54282729805014
9,30,38293,8100,0,409,0,26409,100,3.67339832869081
10,30,38293,8019,0,164,0,26708,100,3.36873259052925
15,30,38293,7729,0,0,0,27129,100,3.6908077994429
