"ID","log2FC","P.value","Q.value","averagelogCPM"
"ABCA17P",-0.443255904099083,5.75655136501133e-05,0.0155867400485226,4.16281381540853
"AC004448.2",-0.933456982304147,8.95733301770539e-06,0.00404943511432358,2.02149600743187
"ADAM32",-0.494435573909111,7.24730607991257e-06,0.00349199364617121,4.22906590019312
"AHCTF1",-0.225113060547615,9.10457566347397e-06,0.00404943511432358,6.56247162581069
"ANKH",-0.10701188151842,0.000167693085260841,0.0318339227843839,8.16357762984805
"ANP32A",0.155206487726318,1.83925480972746e-06,0.00167914283839645,7.63403322687626
"AP4E1",-0.231667261599155,0.000298590455880596,0.0458875846211674,5.80380334219683
"ATP5I",0.222897578508086,1.18804951302974e-05,0.00468361519386679,6.45570452255453
"B4GALT5",-0.166115502536274,0.000298933302328601,0.0458875846211674,6.75506059484132
"BCL2L13",-0.424861723309614,1.85873178510302e-07,0.000293105104949064,7.92986313691619
"C6orf62",0.113008356632923,9.30636659997285e-08,0.000179364705603477,8.60484100309425
"CA13",-0.540790037774817,0.000245709440645679,0.0417098923303676,3.4423222895095
"CA14",0.670252610390708,0.000128282556831936,0.0261786968330207,2.95198166016719
"CD180",-1.09757451234395,2.74411821577211e-05,0.00933323030799667,1.60383408734661
"CDK5RAP1",-0.201075265202391,0.000261925927159447,0.0420682141898867,6.2141698888956
"CHI3L1",-1.57797421273039,0.000256983072441194,0.0417098923303676,6.85860085633736
"CLPX",0.183191428949032,4.88855844930549e-06,0.00283148537224728,7.04691651473415
"COL17A1",0.654383964785234,5.96473810043364e-05,0.015676416225776,2.88640075727858
"COLGALT1",-0.33872186296805,9.97869383094773e-06,0.00432726057979048,5.33642173708657
"CTD-2006C1.2",-0.805280764178129,6.82904596806322e-06,0.00338447518177213,2.80792611270501
"CTD-2368P22.1",-0.294282220003444,1.34376024927078e-05,0.00506714462692412,5.6765502002646
"CTSZ",-0.26885023445313,0.000252474730339947,0.0417098923303676,5.42150995179565
"CYP7B1",0.238961610911776,2.49081143287611e-06,0.00187850500498561,6.24695811959786
"DANCR",-0.282723030714766,0.000359542390159747,0.048723611716492,5.24087258142404
"DAPK1-IT1",-0.896454946835313,9.33054563224334e-05,0.0212957427022228,1.9087312175651
"DGKK",2.20238373134279,0.000144051200216132,0.028394455897148,2.22414660302926
"DLEU2L",-0.512889119610024,1.10464449313025e-05,0.00456218175662793,4.0197384835362
"DNA2",-0.428968978417924,1.05097270580426e-06,0.00111717609213102,4.86431960698622
"DNAJC9",-0.251294510522231,0.000254302465610755,0.0417098923303676,5.58200330897152
"DOK3",-0.612305378573737,0.000246130507354739,0.0417098923303676,2.81197831596883
"E2F3",0.253240356903539,0.00031022498251056,0.0465140410137821,5.53278640225922
"EFCAB13",-0.875244244040072,4.75351266022929e-06,0.00283148537224728,2.53302169182849
"EIF4EBP1",-1.14992125545559,0.00031865617140058,0.0472428200779014,1.22711784827367
"ELMO2",0.128096186695651,0.000326244325834552,0.04755490820106,7.52144611772347
"EPHA3",0.310209413047669,0.000286927316680967,0.0452458294104369,4.61143180099847
"ERLIN2",0.182789851440552,2.05217339440182e-05,0.00741604160401958,6.74052390157973
"ESYT3",-0.407362734969678,2.02919846826263e-06,0.00175992383152418,4.97175703834777
"ETV3",0.224781854509492,5.91798977715586e-06,0.00312113364082879,6.41159180485685
"FAM122B",0.172908693495215,0.000347103161221448,0.0485552535044132,6.39524194879374
"FAM133B",-0.472669261227352,5.82596173220463e-05,0.0155867400485226,3.94172832424318
"FAM69C",0.333018145245606,5.84075927103636e-05,0.0155867400485226,5.07313094438464
"FANCC",-0.560533715076155,0.000170997334449563,0.0318937608963669,3.37195598492538
"FCGBP",-1.67555140530713,5.82835924643123e-05,0.0155867400485226,4.28265766557389
"FHL1",0.220298052021488,3.8622409668864e-14,6.69944318116115e-10,7.94420883134431
"FHL5",0.700587943742956,4.71617728937979e-09,1.16866873230831e-05,3.9850263350164
"FNDC5",0.291223264034802,0.000357830957236957,0.048723611716492,4.86710314808012
"FRZB",0.513673508581295,3.03491732392172e-05,0.00993276903787663,3.7953044064758
"FSD1",-0.437874866702707,5.93781910223394e-06,0.00312113364082879,4.53156027109091
"GGA2",-0.238582215220118,9.24525707981165e-11,5.3456076435471e-07,7.31081008945028
"GPR135",-0.296918943786995,0.000257290353934586,0.0417098923303676,5.01212670056664
"HAUS3",-0.209457316062186,0.000159017844063194,0.0306480391457796,6.21254385888748
"HELB",-0.370411029809108,1.1647914173214e-05,0.00468361519386679,4.94696770757568
"HELLS",-0.536754657056427,3.52623712555866e-06,0.00235254266076694,4.09587867317681
"HM13",-0.228726342377151,5.35829390538831e-05,0.0154908276804776,6.16364476950803
"HNRNPLL",-0.21772092083228,5.36406245615885e-06,0.00300145249563005,6.66914380506397
"HSD17B12",0.250962981653701,3.53500361520256e-13,3.06590863546518e-09,7.37156721504912
"IFNAR1",-0.193449966532384,3.06782462402543e-10,8.86908098805752e-07,8.11451701525922
"IRAK1BP1",-0.228592552794432,0.000311058962158349,0.0465140410137821,5.86364927923865
"JAK3",-0.764485247028029,2.15464675596978e-10,8.652124925021e-07,3.91001406456579
"KCTD20",-0.16061405979195,0.000113991471050578,0.0244110624301645,7.35672438144613
"KIF2A",0.109894398075055,7.93071534425815e-05,0.0191064150502086,7.97493791047877
"KNSTRN",-0.376289556562274,0.000128202079970597,0.0261786968330207,4.46555330105186
"LINC00202-1",-0.356078811840515,0.000225200134276911,0.039914419021256,4.3110730284562
"LONRF3",-0.364166354577062,0.00019346834296259,0.034957311219053,4.39935634883339
"LRRC37B",-0.326620913322555,6.74395133622164e-06,0.00338447518177213,5.41456541869843
"LRRC39",-0.483515815534934,0.000100138832460095,0.0225585478941923,3.7560326078094
"MCM3AP-AS1",-0.52425764410097,1.09489182325766e-06,0.00111717609213102,4.16807829743638
"MFHAS1",-0.267300494574192,2.64513935507222e-06,0.00191177446887845,6.25667910227538
